Date,Open,High,Low,Close,Volume,Adj Close
2000-07-27,4.8125,4.8125,4.25,4.50,9200,4.50
2000-07-26,5.125,5.125,4.8125,4.8125,9200,4.8125
2000-07-25,5.25,5.4375,5.25,5.25,2500,5.25
2000-07-24,5.25,5.25,5.00,5.25,3900,5.25
2000-07-21,5.375,5.40625,5.3125,5.3125,6600,5.3125
2000-07-20,5.375,5.50,5.375,5.50,900,5.50
2000-07-19,5.6875,5.6875,5.375,5.6875,3800,5.6875
2000-07-18,5.9375,5.9375,5.50,5.78125,4800,5.78125
2000-07-17,5.375,5.9375,5.375,5.9375,800,5.9375
2000-07-14,5.50,6.00,5.375,5.50,15300,5.50
2000-07-13,5.50,5.50,5.375,5.50,4000,5.50
2000-07-12,5.375,5.50,5.1875,5.50,7300,5.50
2000-07-11,5.375,5.625,5.375,5.375,3900,5.375
2000-07-10,5.625,5.625,5.50,5.50,1700,5.50
2000-07-07,5.75,5.75,5.625,5.625,1900,5.625
2000-07-06,5.3125,5.9375,5.3125,5.9375,7600,5.9375
2000-07-05,5.50,5.71875,5.50,5.625,2300,5.625
2000-07-03,5.50,5.50,5.50,5.50,1600,5.50
2000-06-30,5.50,5.6875,5.50,5.50,2500,5.50
2000-06-29,5.3125,5.3125,5.3125,5.3125,000,5.3125
2000-06-28,5.50,5.50,5.3125,5.3125,3800,5.3125
2000-06-27,5.625,5.625,5.375,5.4375,4300,5.4375
2000-06-26,5.75,5.9375,5.75,5.875,6300,5.875
2000-06-23,5.375,5.51562,5.375,5.50,1600,5.50
2000-06-22,5.50,5.8125,5.50,5.8125,3100,5.8125
2000-06-21,5.25,5.8125,5.25,5.75,8700,5.75
2000-06-20,5.50,5.75,5.25,5.6875,9300,5.6875
2000-06-19,5.875,5.875,5.125,5.75,6700,5.75
2000-06-16,5.75,6.25,5.50,5.875,7400,5.875
2000-06-15,6.57812,6.57812,5.625,6.125,8600,6.125
2000-06-14,6.50,7.875,6.50,6.50,56300,6.50
2000-06-13,5.8125,6.25,5.8125,6.125,15200,6.125
2000-06-12,6.5625,6.5625,5.875,5.875,6800,5.875
2000-06-09,6.5625,6.5625,6.3125,6.5625,2700,6.5625
2000-06-08,6.5625,6.6875,6.4375,6.5625,2800,6.5625
2000-06-07,6.5625,6.5625,6.4375,6.4375,1400,6.4375
2000-06-06,6.625,6.625,6.4375,6.5625,12400,6.5625
2000-06-05,5.25,7.375,5.25,6.25,28700,6.25
2000-06-02,4.75,4.9375,4.625,4.9375,9200,4.9375
2000-06-01,5.00,5.1875,4.5625,4.625,10800,4.625
2000-05-31,4.75,5.00,4.75,4.875,3600,4.875
2000-05-30,5.125,5.125,4.75,4.75,9200,4.75
2000-05-26,5.3125,5.40625,5.00,5.0625,15100,5.0625
2000-05-25,5.50,5.625,5.125,5.125,6400,5.125
2000-05-24,5.25,6.25,4.875,5.50,38900,5.50
2000-05-23,5.8125,5.8125,5.125,5.25,8300,5.25
2000-05-22,6.3125,6.3125,5.50,5.75,12600,5.75
2000-05-19,7.125,7.125,6.50,6.50,9700,6.50
2000-05-18,7.125,7.375,7.125,7.1875,1300,7.1875
2000-05-17,7.50,7.50,7.125,7.1875,3000,7.1875
2000-05-16,7.00,7.50,7.00,7.50,5900,7.50
2000-05-15,7.6875,7.6875,7.00,7.125,11800,7.125
2000-05-12,7.00,8.21875,7.00,7.40625,50500,7.40625
2000-05-11,6.1875,7.375,6.125,7.375,58900,7.375
2000-05-10,6.50,6.6875,6.1875,6.3125,8600,6.3125
2000-05-09,6.6875,6.6875,6.50,6.50,1400,6.50
2000-05-08,6.8125,6.8125,6.75,6.75,500,6.75
2000-05-05,7.00,7.00,6.5625,6.75,5400,6.75
2000-05-04,6.5625,6.75,6.125,6.4375,4600,6.4375
2000-05-03,6.50,7.00,6.25,7.00,7000,7.00
2000-05-02,6.50,7.00,6.00,6.50,8900,6.50
2000-05-01,5.625,7.6875,5.34375,6.6875,110200,6.6875
2000-04-28,5.125,5.125,5.03125,5.03125,6600,5.03125
2000-04-27,5.15625,5.25,5.0625,5.1875,11500,5.1875
2000-04-26,5.50,5.50,5.25,5.25,17800,5.25
2000-04-25,5.625,5.75,5.40625,5.40625,10300,5.40625
2000-04-24,5.625,5.625,5.15625,5.25,8300,5.25
2000-04-20,5.50,5.6875,5.50,5.625,6600,5.625
2000-04-19,5.5625,6.00,5.15625,6.00,14900,6.00
2000-04-18,5.25,6.00,5.0625,5.65625,20200,5.65625
2000-04-17,3.75,6.3125,2.125,5.00,188000,5.00
2000-04-14,5.1875,5.1875,4.0625,4.25,45700,4.25
2000-04-13,6.00,6.00,5.125,5.1875,31500,5.1875
2000-04-12,6.125,6.50,5.6875,5.6875,18800,5.6875
2000-04-11,6.375,6.625,6.25,6.50,14600,6.50
2000-04-10,6.75,7.00,6.50,6.875,13300,6.875
2000-04-07,6.75,7.00,6.50,6.625,12800,6.625
2000-04-06,7.00,7.1875,6.50,6.50,26000,6.50
2000-04-05,6.875,7.25,6.875,7.125,35700,7.125
2000-04-04,7.3125,7.3125,5.25,6.6875,56100,6.6875
2000-04-03,7.75,7.75,7.125,7.125,9500,7.125
2000-03-31,8.00,8.00,7.50,7.75,15900,7.75
2000-03-30,7.625,8.6875,7.5625,7.8125,20000,7.8125
2000-03-29,8.25,8.375,7.625,7.625,47200,7.625
2000-03-28,8.59375,8.625,8.09375,8.25,20300,8.25
2000-03-27,9.50,9.875,8.59375,9.00,20000,9.00
2000-03-24,8.4375,9.25,8.34375,9.00,21700,9.00
2000-03-23,8.50,8.6875,8.375,8.375,11100,8.375
2000-03-22,8.25,8.9375,8.25,8.25,17100,8.25
2000-03-21,9.00,9.125,8.15625,8.50,8100,8.50
2000-03-20,9.375,9.375,8.50,9.00,26300,9.00
2000-03-17,8.96875,9.375,8.8125,9.375,16500,9.375
2000-03-16,9.50,9.50,8.1875,8.96875,40800,8.96875
2000-03-15,9.8125,9.875,9.125,9.50,37000,9.50
2000-03-14,10.00,10.625,9.8125,10.125,15500,10.125
2000-03-13,10.6875,11.25,10.00,10.0625,48200,10.0625
2000-03-10,11.375,11.75,10.75,11.625,38300,11.625
2000-03-09,10.375,11.1875,10.0625,11.00,23000,11.00
2000-03-08,10.125,10.50,9.25,10.25,12700,10.25
2000-03-07,10.499995,11.00,10.000001,10.249998,62800,9.31818
2000-03-06,12.125003,12.125003,10.499995,10.98438,14500,9.9858
2000-03-03,12.999998,12.999998,11.062502,11.750002,72000,10.68182
2000-03-02,9.874997,13.75,9.812495,12.500004,119900,11.36364
2000-03-01,9.750004,10.874996,9.249999,10.375002,49000,9.43182
2000-02-29,9.000002,10.499995,9.000002,9.625,30800,8.75
2000-02-28,9.750004,9.750004,8.625001,9.124995,24400,8.29545
2000-02-25,9.562498,10.249998,8.750005,9.937499,55800,9.03409
2000-02-24,8.437495,9.625,8.375004,8.750005,46500,7.95455
2000-02-23,9.000002,9.249999,7.874999,8.750005,101000,7.95455
2000-02-22,10.000001,10.000001,9.124995,9.249999,36800,8.40909
2000-02-18,11.00,11.00,10.000001,10.249998,41200,9.31818
2000-02-17,11.750002,11.750002,9.625,10.125005,57400,9.20455
2000-02-16,11.249997,11.624998,10.874996,11.00,27600,10.00
2000-02-15,13.75,13.999997,10.499995,11.999999,61800,10.90909
2000-02-14,12.500004,13.999997,12.500004,13.500003,47400,12.27273
2000-02-11,11.999999,12.999998,11.999999,12.500004,12500,11.36364
2000-02-10,12.999998,13.687498,12.249996,12.750001,49800,11.59091
2000-02-09,12.750001,13.999997,12.249996,12.999998,62500,11.81818
2000-02-08,12.500004,12.999998,11.500005,12.624997,64400,11.47727
2000-02-07,12.249996,12.999998,11.624998,12.500004,57000,11.36364
2000-02-04,11.874995,12.687499,11.062502,11.750002,45800,10.68182
2000-02-03,12.375,13.249996,11.624998,11.6875,46200,10.625
2000-02-02,13.500003,13.75,11.624998,12.875005,74200,11.70455
2000-02-01,10.624999,12.999998,10.562497,12.875005,146700,11.70455
2000-01-31,12.999998,13.125002,9.750004,10.187496,228400,9.26136
2000-01-28,14.374998,14.374998,11.00,12.750001,183500,11.59091
2000-01-27,17.124998,17.749997,13.125002,13.999997,340200,12.72727
2000-01-26,19.25,19.9375,17.1875,17.499999,192000,15.90909
2000-01-25,23.999999,23.999999,13.999997,19.625001,669300,17.84091
2000-01-24,26.999996,26.999996,19.000003,22.3125,625900,20.28409
2000-01-21,14.875003,19.687503,14.875003,18.499998,386100,16.81818
2000-01-20,12.500004,15.875002,11.999999,14.812501,244200,13.46591
2000-01-19,11.999999,12.999998,11.00,12.125003,77100,11.02273
2000-01-18,9.937499,12.312498,9.750004,11.750002,137000,10.68182
2000-01-14,9.718753,10.499995,8.375004,9.375003,88400,8.52273
2000-01-13,8.750005,9.843746,8.531248,9.499996,75900,8.63636
2000-01-12,7.90625,9.874997,7.593751,8.562499,96100,7.78409
2000-01-11,7.375005,7.90625,7.250001,7.749995,18000,7.04545
2000-01-10,7.281252,7.499998,7.124997,7.499998,9200,6.81818
2000-01-07,6.625003,7.625002,6.562501,7.000004,15100,6.36364
2000-01-06,7.000004,7.124997,6.562501,6.875,3400,6.25
2000-01-05,6.937502,7.437496,6.937502,7.124997,4400,6.47727
2000-01-04,7.499998,7.625002,7.000004,7.000004,28900,6.36364
2000-01-03,7.124997,7.499998,7.124997,7.499998,18200,6.81818
1999-12-31,7.312503,7.687504,7.031255,7.687504,26900,6.98864
1999-12-30,7.499998,7.749995,7.000004,7.312503,33200,6.64773
1999-12-29,8.000003,8.187498,7.000004,7.250001,50200,6.59091
1999-12-28,8.281251,8.625001,7.749995,7.874999,14000,7.15909
1999-12-27,8.453126,8.750005,8.25,8.499997,8200,7.72727
1999-12-23,7.937501,9.000002,7.937501,8.375004,39600,7.61364
1999-12-22,7.874999,8.750005,7.499998,8.375004,23200,7.61364
1999-12-21,7.968752,8.687503,7.375005,7.874999,34300,7.15909
1999-12-20,6.312504,7.874999,6.250002,7.625002,70600,6.93182
1999-12-17,6.250002,6.374995,6.124998,6.124998,21000,5.56818
1999-12-16,6.000005,6.250002,6.000005,6.1875,12300,5.625
1999-12-15,6.1875,6.374995,5.812499,5.875001,31500,5.34091
1999-12-14,6.749996,6.937502,6.124998,6.625003,20500,6.02273
1999-12-13,7.000004,7.124997,6.000005,6.625003,26900,6.02273
1999-12-10,7.703124,7.874999,6.499999,6.875,42900,6.25
1999-12-09,8.000003,8.000003,7.499998,7.812497,13400,7.10227
1999-12-08,7.687504,7.749995,7.375005,7.375005,59100,6.70455
1999-12-07,7.640622,7.968752,7.499998,7.625002,76500,6.93182
1999-12-06,8.750005,8.874998,7.375005,7.531249,184400,6.84659
1999-12-03,6.468748,7.843748,6.437497,7.281252,163900,6.61932
1999-12-02,5.749997,6.124998,5.749997,6.124998,8300,5.56818
1999-12-01,5.875001,5.875001,5.749997,5.749997,8100,5.22727
1999-11-30,6.124998,6.124998,5.749997,5.749997,14500,5.22727
1999-11-29,5.749997,6.000005,5.749997,6.000005,18400,5.45455
1999-11-26,6.312504,6.312504,6.124998,6.124998,1300,5.56818
1999-11-24,6.124998,6.374995,6.124998,6.250002,5800,5.68182
1999-11-23,6.124998,6.437497,6.000005,6.437497,4800,5.85227
1999-11-22,6.000005,6.437497,6.000005,6.250002,5300,5.68182
1999-11-19,6.499999,6.499999,6.000005,6.124998,1900,5.56818
1999-11-18,5.625004,6.312504,5.625004,6.000005,51100,5.45455
1999-11-17,6.000005,6.250002,5.625004,6.000005,8100,5.45455
1999-11-16,6.031245,6.499999,5.906252,6.437497,10200,5.85227
1999-11-15,5.250003,6.124998,5.250003,6.000005,9600,5.45455
1999-11-12,5.50,5.625004,5.124999,5.124999,2300,4.65909
1999-11-11,5.50,5.50,5.50,5.50,1700,5.00
1999-11-10,5.812499,5.812499,5.124999,5.50,42900,5.00
1999-11-09,5.749997,5.749997,5.250003,5.50,18100,5.00
1999-11-08,5.671875,6.312504,5.50,5.625004,42100,5.11364
1999-11-05,5.187501,5.562502,5.187501,5.562502,15000,5.05682
1999-11-04,5.124999,5.312505,4.999995,5.062497,28100,4.60227
1999-11-03,5.343745,5.437498,4.999995,5.124999,7000,4.65909
1999-11-02,5.062497,5.250003,4.875002,5.250003,6300,4.77273
1999-11-01,5.250003,5.250003,4.999995,5.187501,11100,4.71591
1999-10-29,5.312505,5.312505,5.312505,5.312505,2500,4.82955
1999-10-28,5.781248,5.84375,4.625005,5.250003,16500,4.77273
1999-10-27,5.656255,5.968754,5.656255,5.968754,1400,5.42614
1999-10-26,6.062496,6.062496,5.625004,5.968754,10800,5.42614
1999-10-25,6.281253,6.343755,6.062496,6.343755,1400,5.76705
1999-10-22,6.031245,6.281253,6.000005,6.281253,4100,5.71023
1999-10-21,6.406246,6.406246,6.124998,6.312504,3900,5.73864
1999-10-20,6.437497,6.718745,6.406246,6.53125,16100,5.9375
1999-10-19,6.625003,6.875,6.593752,6.875,4900,6.25
1999-10-18,6.625003,6.749996,6.593752,6.749996,700,6.13636
1999-10-15,6.718745,6.937502,6.656254,6.937502,6000,6.30682
1999-10-14,6.968753,6.968753,6.656254,6.968753,10800,6.33523
1999-10-13,6.749996,6.968753,6.656254,6.968753,2500,6.33523
1999-10-12,6.656254,7.000004,6.53125,6.812498,13200,6.19318
1999-10-11,5.875001,6.968753,5.875001,6.968753,25800,6.33523
1999-10-08,5.968754,6.1875,5.625004,6.000005,11500,5.45455
1999-10-07,6.374995,6.374995,5.50,5.531251,9700,5.02841
1999-10-06,6.562501,6.625003,6.437497,6.625003,900,6.02273
1999-10-05,6.562501,6.562501,6.562501,6.562501,500,5.96591
1999-10-04,6.374995,7.062495,6.374995,6.562501,2800,5.96591
1999-10-01,6.250002,6.875,6.250002,6.749996,12100,6.13636
1999-09-30,6.406246,6.499999,6.406246,6.499999,1200,5.90909
1999-09-29,6.374995,6.437497,6.000005,6.437497,5300,5.85227
1999-09-28,5.687495,6.437497,5.687495,6.437497,6200,5.85227
1999-09-27,6.437497,6.437497,5.875001,5.875001,4500,5.34091
1999-09-24,6.499999,6.499999,6.031245,6.031245,4400,5.48295
1999-09-23,6.703125,6.937502,6.468748,6.812498,2000,6.19318
1999-09-22,6.625003,6.749996,6.374995,6.437497,3800,5.85227
1999-09-21,6.812498,7.124997,6.812498,6.812498,1600,6.19318
1999-09-20,7.124997,7.156248,6.812498,7.156248,4700,6.50568
1999-09-17,6.625003,6.875,6.562501,6.875,1800,6.25
1999-09-16,6.749996,6.749996,6.749996,6.749996,400,6.13636
1999-09-15,7.312503,7.312503,7.312503,7.312503,000,6.64773
1999-09-14,6.53125,7.312503,6.53125,7.312503,28000,6.64773
1999-09-13,6.281253,6.937502,6.062496,6.437497,16300,5.85227
1999-09-10,6.250002,6.437497,6.000005,6.437497,6600,5.85227
1999-09-09,6.1875,6.250002,5.875001,6.250002,24000,5.68182
1999-09-08,6.625003,6.687505,6.374995,6.625003,2300,6.02273
1999-09-07,6.749996,7.000004,6.562501,7.000004,12100,6.36364
1999-09-03,6.749996,6.749996,6.562501,6.562501,2300,5.96591
1999-09-02,6.749996,6.749996,6.499999,6.562501,2800,5.96591
1999-09-01,7.187499,7.375005,7.000004,7.000004,3900,6.36364
1999-08-31,7.499998,7.499998,7.187499,7.499998,400,6.81818
1999-08-30,7.406245,7.406245,7.187499,7.375005,8000,6.70455
1999-08-27,7.484378,7.656253,7.406245,7.625002,8200,6.93182
1999-08-26,7.812497,7.812497,7.499998,7.499998,4800,6.81818
1999-08-25,8.124996,8.124996,7.749995,7.874999,4600,7.15909
1999-08-24,7.499998,8.312502,7.499998,8.25,15000,7.50
1999-08-23,7.749995,7.874999,7.499998,7.499998,11700,6.81818
1999-08-20,8.062505,8.062505,7.812497,7.812497,3900,7.10227
1999-08-19,7.625002,8.000003,7.625002,7.968752,16700,7.24432
1999-08-18,8.187498,8.187498,7.937501,7.937501,2200,7.21591
1999-08-17,8.000003,8.625001,7.812497,8.375004,19900,7.61364
1999-08-16,7.625002,8.062505,7.625002,8.062505,3400,7.32955
1999-08-13,8.312502,8.312502,7.5625,8.25,3100,7.50
1999-08-12,7.749995,7.874999,7.749995,7.874999,1100,7.15909
1999-08-11,8.000003,8.843747,7.5625,7.749995,6400,7.04545
1999-08-10,7.375005,7.812497,7.281252,7.812497,4700,7.10227
1999-08-09,6.937502,7.937501,6.937502,7.749995,15100,7.04545
1999-08-06,7.250001,7.250001,6.937502,6.937502,2800,6.30682
1999-08-05,6.499999,7.124997,6.281253,7.124997,15000,6.47727
1999-08-04,7.156248,7.156248,6.499999,7.124997,20600,6.47727
1999-08-03,7.250001,7.499998,7.000004,7.000004,5300,6.36364
1999-08-02,8.187498,8.187498,7.499998,7.874999,4800,7.15909
1999-07-30,7.749995,8.312502,7.749995,8.25,9000,7.50
1999-07-29,7.984372,8.187498,7.749995,7.749995,8500,7.04545
1999-07-28,7.5625,7.968752,7.499998,7.499998,9300,6.81818
1999-07-27,7.937501,8.031254,7.687504,7.687504,12400,6.98864
1999-07-26,7.749995,7.874999,7.499998,7.749995,11000,7.04545
1999-07-23,8.312502,8.437495,7.687504,7.687504,5900,6.98864
1999-07-22,8.312502,8.499997,8.000003,8.25,6200,7.50
1999-07-21,8.468746,8.499997,8.124996,8.499997,2600,7.72727
1999-07-20,8.812496,9.000002,8.312502,8.312502,20500,7.55682
1999-07-19,7.5625,9.249999,7.5625,8.874998,33900,8.06818
1999-07-16,7.124997,7.687504,7.000004,7.625002,24000,6.93182
1999-07-15,7.671873,7.671873,7.124997,7.375005,10200,6.70455
1999-07-14,8.562499,8.562499,7.749995,7.874999,7200,7.15909
1999-07-13,8.25,8.562499,8.25,8.562499,2800,7.78409
1999-07-12,8.874998,8.874998,8.375004,8.750005,8500,7.95455
1999-07-09,9.124995,9.249999,8.562499,8.562499,11800,7.78409
1999-07-08,8.187498,8.9375,7.749995,8.9375,24800,8.125
1999-07-07,7.937501,8.000003,7.625002,7.937501,17000,7.21591
1999-07-06,6.875,8.000003,6.875,7.749995,34900,7.04545
1999-07-02,6.374995,6.875,6.374995,6.875,4100,6.25
1999-07-01,6.499999,6.687505,6.499999,6.687505,5500,6.07955
1999-06-30,6.687505,6.687505,6.374995,6.374995,3600,5.79545
1999-06-29,6.374995,6.499999,6.374995,6.374995,1900,5.79545
1999-06-28,6.374995,6.499999,6.374995,6.374995,1600,5.79545
1999-06-25,6.812498,6.812498,6.374995,6.499999,5900,5.90909
1999-06-24,6.499999,6.687505,6.499999,6.687505,1900,6.07955
1999-06-23,6.625003,6.749996,6.499999,6.625003,3800,6.02273
1999-06-22,6.499999,6.625003,6.406246,6.562501,6800,5.96591
1999-06-21,6.562501,6.625003,6.53125,6.562501,1800,5.96591
1999-06-18,7.000004,7.062495,6.499999,6.562501,3600,5.96591
1999-06-17,6.718745,6.937502,6.374995,6.562501,12300,5.96591
1999-06-16,7.124997,7.124997,6.687505,6.687505,3900,6.07955
1999-06-15,6.937502,7.124997,6.625003,6.625003,6700,6.02273
1999-06-14,7.062495,7.124997,6.875,6.875,5600,6.25
1999-06-11,7.250001,7.499998,7.000004,7.000004,3400,6.36364
1999-06-10,7.124997,7.499998,7.124997,7.499998,1600,6.81818
1999-06-09,7.187499,7.687504,7.124997,7.687504,2600,6.98864
1999-06-08,6.937502,7.625002,6.937502,7.625002,1500,6.93182
1999-06-07,6.812498,7.625002,6.812498,7.124997,4200,6.47727
1999-06-04,7.000004,7.499998,6.625003,7.250001,8500,6.59091
1999-06-03,7.124997,7.124997,6.749996,6.749996,22800,6.13636
1999-06-02,7.843748,7.843748,6.749996,7.250001,41900,6.59091
